C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Richard Panik,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Jake Gardiner,33.11,35.0
Nathan MacKinnon,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,Matt Nieto,32.99,30.0
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Andre Burakovsky,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov,32.86,30.0
Sean Couturier,Carl Soderberg,Alex Ovechkin,Claude Giroux,Blake Comeau,Keith Yandle,Tyson Barrie,Braden Holtby,Matt Nieto,32.57,29.5
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski,32.53,35.0
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Jesper Fast,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Erik Johnson,32.52,21.7
Auston Matthews,Sean Couturier,Claude Giroux,William Nylander,Zach Hyman,Morgan Rielly,Oliver Ekman-Larsson,Braden Holtby,Samuel Girard,32.5,32.0
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Matt Nieto,32.28,16.3
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Chris Kreider,Oliver Ekman-Larsson,Alex Goligoski,Roberto Luongo,Brady Skjei,32.26,23.7
Sean Couturier,J.T. Compher,Claude Giroux,Travis Konecny,Tyson Jost,John Carlson,Shayne Gostisbehere,Braden Holtby,Oliver Ekman-Larsson,32.25,30.0
Nathan MacKinnon,Sean Couturier,Claude Giroux,Gabriel Landeskog,Travis Konecny,Dmitry Orlov,Alex Goligoski,Braden Holtby,Samuel Girard,32.21,21.0
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Travis Konecny,Keith Yandle,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei,32.2,25.8
Nathan MacKinnon,J.T. Compher,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Shayne Gostisbehere,Erik Johnson,Braden Holtby,Dmitry Orlov,32.09,26.0
Nathan MacKinnon,Sean Couturier,Claude Giroux,Travis Konecny,Blake Comeau,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg,31.94,22.3
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Blake Comeau,Oliver Ekman-Larsson,Aaron Ekblad,Braden Holtby,Denis Malgin,31.9,38.0
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Oskar Lindblom,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Jake Gardiner,31.89,28.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Tyson Jost,Alexander Kerfoot,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,J.T. Compher,31.82,18.3
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Oskar Lindblom,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov,31.81,25.5
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Travis Konecny,Oliver Ekman-Larsson,Brady Skjei,Henrik Lundqvist,Jimmy Vesey,31.81,25.5
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Clayton Keller,Richard Panik,Oliver Ekman-Larsson,Erik Johnson,Roberto Luongo,Dmitry Orlov,31.79,21.7
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,Gabriel Landeskog,Zach Hyman,Jake Gardiner,Brady Skjei,Marc-Andre Fleury,Samuel Girard,31.76,24.3
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Samuel Girard,31.73,18.0
Auston Matthews,Mika Zibanejad,William Nylander,Chris Kreider,Zach Hyman,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Dmitry Orlov,31.7,22.8
Nathan MacKinnon,Christian Dvorak,Mikko Rantanen,Gabriel Landeskog,Max Domi,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski,31.67,30.0
Nicklas Backstrom,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Keith Yandle,Jake Gardiner,Braden Holtby,Dmitry Orlov,31.61,37.5
Sean Couturier,Christian Dvorak,Claude Giroux,Mikko Rantanen,Travis Konecny,Tyson Barrie,Erik Johnson,Braden Holtby,Max Domi,31.58,27.0
Nathan MacKinnon,Nicklas Backstrom,Gabriel Landeskog,T.J. Oshie,Andre Burakovsky,Erik Johnson,Jake Gardiner,Braden Holtby,Alex Goligoski,31.56,34.0
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Travis Konecny,Tyson Barrie,Neal Pionk,Marc-Andre Fleury,Samuel Girard,31.52,19.8
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Blake Comeau,Matt Nieto,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg,31.5,26.8
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Tyson Jost,Alexander Kerfoot,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,J.T. Compher,31.49,28.5
Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Blake Comeau,Matt Nieto,John Carlson,Shayne Gostisbehere,Roberto Luongo,Keith Yandle,31.49,26.7
Nathan MacKinnon,Mika Zibanejad,Gabriel Landeskog,Chris Kreider,Jesper Fast,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Neal Pionk,31.49,21.8
Auston Matthews,Derek Stepan,Clayton Keller,William Nylander,Zach Hyman,Tyson Barrie,Jake Gardiner,Braden Holtby,Mike Matheson,31.43,30.5
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Travis Konecny,Tyson Barrie,Mike Matheson,Roberto Luongo,Alex Goligoski,31.41,19.2
